title,author,poem_text,url_to_poem,publication_date,your_initials,Theme
The Red Wheelbarrow,William Carlos Williams,"so much depends
upon

a red wheel
barrow

glazed with rain
water

beside the white
chickens",https://www.poets.org/poetsorg/poem/red-wheelbarrow,1962,JAH,

At Night,Stanley Plumly,""" 'when did I know that I'd have to carry it around
in order to have it when I need it, say in a pocket,

the dark itself not dark enough but needing to be
added to, handful by handful if necessary, until

the way my mother would sit all night in a room
without the lights, smoking, until she disappeared?

Where would she go, because I would go there.
In the morning, nothing but a blanket and all her

absence and the feeling in the air of happiness.
And so much loneliness, a kind of purity of being

and emptiness, no one you are or could ever be,
my mother like another me in another life, gone

where I will go, night now likely dark enough
I can be alone as I've never been alone before.'""",https://www.poets.org/poetsorg/poem/night-6,1939,PP,Afterlife
Eccles. 9:7,Chase Berggrun,""" 'In my favorite fantasy
                                                   I am given

                                        permission    I am prone
                                        face toward the light
                                                      beach queen    bathed in body

A thought that comes from a coming-from     the sweet place

                           where a sunset isn't indescribable
                                                                       something simply looked at

                                                      The sun sets    I sit
                                                      sinless in sand
                                                      I sip only once'""",https://www.poets.org/poetsorg/poem/eccles-97,2019,PP,Beauty
For Keeps,Joy Harjo,"""Sun makes the day new.
Tiny green plants emerge from earth.
Birds are singing the sky into place.
There is nowhere else I want to be but here.
I lean into the rhythm of your heart to see where it will take us.
We gallop into a warm, southern wind.
I link my legs to yours and we ride together,
Toward the ancient encampment of our relatives.
Where have you been? they ask.
And what has taken you so long?
That night after eating, singing, and dancing
We lay together under the stars.
We know ourselves to be part of mystery.
It is unspeakable.
It is everlasting.
It is for keeps.'""",https://www.poets.org/poetsorg/poem/keeps,1951,PP,Begining
A Meeting,Edith Wharton,"""On a sheer peak of joy we meet;
Below us hums the abyss;
Death either way allures our feet
If we take one step amiss.

One moment let us drink the blue
Transcendent air together-
Then down where the same old work's to do
In the same dull daily weather.

We may not wait . . . yet look below!
How part? On this keen ridge
But one may pass. They call you-go!
My life shall be your bridge.'""",https://www.poets.org/poetsorg/poem/meeting,1862 - 1937,PP,Happiness
Lesson Three,Nicole Callihan,"""The name of this technique,
he said,
is afternoon.

Then pressed his mouth
to her collarbone,

pressed his mouth
'til evening
broke the window'""",https://www.poets.org/poetsorg/poem/lesson-three,2014,PP,Desire
My Father as a Cartographer,Natasha Trethewey,"""In dim light now, his eyes
     straining to survey
the territory: here is the country
     of Loss, its colony Grief;
the great continent Desire
     and its borderland Regret;

vast, unfathomable water,
    an archipelago-the tiny islands
of Joy, untethered, set adrift.
    At the bottom of the map
his legend and cartouche,
    the measures of distance, key

to the symbols marking each
    known land. What's missing
is the traveler's warning
    at the margins: a dragon-
its serpentine signature-monstrous
    as a two-faced daughter.'""",https://www.poets.org/poetsorg/poem/my-father-cartographer,1966,PP,Loss
"Lindos, Greece",Sandra Simonds,"""Maybe silence adds to the pain
and maybe pain adds to the sea
and maybe the sea is only a reflection
of a ruin today
where the mind is unable to make out
how things used to be for us:
complete, with deities, a kind of
order. Oh never mind the ATMs
scattered throughout the medieval town
or the street art sprayed
into the air that says
Destroy what destroys you
But I destroy myself;
I destroy myself.'""",https://www.poets.org/poetsorg/poem/lindos-greece,2018,PP,Cities
God's Will,Nick Flynn,"""Isn't there a bird (what's its name?)
that collects blue

things-bottle cap, rubber band,
bits of broken

cups-to make an elaborate, sparkling
blue nest on the ground. At

a meeting, a woman spoke of
her brother, who'd just

OD'd-teary,

she said she knew it was God's
will. We all want to be held

a little higher. Bower

bird, that's the name, it gathers
all that blue

& arranges it into a nest
to make the beloved, of course,

want to stay.'""",https://www.poets.org/poetsorg/poem/gods-will,1960,PP,Drugs
